                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    110,                0.97689,                0.87398,                0.98909,                0.90025,                0.74074,                 0.8586,                0.55708,                 1.3015,                 1.6638,                 1.0756,               0.006403,               0.006403,               0.006403
                    111,                0.89618,                0.82023,                0.98311,                0.78983,                 0.7037,                0.82288,                0.55212,                 1.3786,                 1.6432,                 1.1179,                0.00637,                0.00637,                0.00637
                    112,                0.91049,                0.94162,                 1.0425,                0.78983,                 0.7037,                0.82288,                0.55212,                 1.3786,                 1.6432,                 1.1179,               0.006337,               0.006337,               0.006337
                    113,                  1.046,                0.93518,                 1.0317,                0.78983,                 0.7037,                0.82288,                0.55212,                 1.3786,                 1.6432,                 1.1179,               0.006304,               0.006304,               0.006304
                    114,                0.91889,                0.82237,                 0.9739,                0.78983,                 0.7037,                0.82288,                0.55212,                 1.3786,                 1.6432,                 1.1179,               0.006271,               0.006271,               0.006271
                    115,                  0.995,                0.83958,                 0.9823,                0.83071,                 0.7037,                0.83867,                0.57079,                 1.3283,                 1.6449,                 1.0942,               0.006238,               0.006238,               0.006238
                    116,                  1.064,                0.92526,                 1.0354,                0.83071,                 0.7037,                0.83867,                0.57079,                 1.3283,                 1.6449,                 1.0942,               0.006205,               0.006205,               0.006205
                    117,                0.95377,                0.85518,                 1.0149,                0.83071,                 0.7037,                0.83867,                0.57079,                 1.3283,                 1.6449,                 1.0942,               0.006172,               0.006172,               0.006172
                    118,                 0.9579,                0.86322,                0.99471,                0.83071,                 0.7037,                0.83867,                0.57079,                 1.3283,                 1.6449,                 1.0942,               0.006139,               0.006139,               0.006139
                    119,                0.98138,                0.80088,                0.99823,                 0.8147,                0.65179,                0.72284,                0.51698,                 1.2624,                 1.8036,                 1.0704,               0.006106,               0.006106,               0.006106
                    120,                0.81383,                 0.8701,                 1.0096,                 0.8147,                0.65179,                0.72284,                0.51698,                 1.2624,                 1.8036,                 1.0704,               0.006073,               0.006073,               0.006073
                    121,                0.96231,                0.80198,                0.94092,                 0.8147,                0.65179,                0.72284,                0.51698,                 1.2624,                 1.8036,                 1.0704,                0.00604,                0.00604,                0.00604
                    122,                0.94685,                0.88883,                0.94575,                 0.8147,                0.65179,                0.72284,                0.51698,                 1.2624,                 1.8036,                 1.0704,               0.006007,               0.006007,               0.006007
                    123,                0.93366,                0.83481,                0.97336,                0.85704,                0.66614,                 0.7235,                0.46694,                 1.4301,                 1.7124,                 1.1495,               0.005974,               0.005974,               0.005974
                    124,                 1.0128,                0.87102,                 1.0348,                0.85704,                0.66614,                 0.7235,                0.46694,                 1.4301,                 1.7124,                 1.1495,               0.005941,               0.005941,               0.005941
                    125,                0.89465,                0.82462,                 1.0018,                0.85704,                0.66614,                 0.7235,                0.46694,                 1.4301,                 1.7124,                 1.1495,               0.005908,               0.005908,               0.005908
                    126,                 1.0046,                0.85182,                 1.0042,                0.85704,                0.66614,                 0.7235,                0.46694,                 1.4301,                 1.7124,                 1.1495,               0.005875,               0.005875,               0.005875
                    127,                0.96209,                0.79551,                0.94609,                0.88422,                0.66667,                0.78481,                 0.5309,                 1.3005,                 1.5992,                 1.0939,               0.005842,               0.005842,               0.005842
                    128,                 0.9354,                0.88875,                 1.0197,                0.88422,                0.66667,                0.78481,                 0.5309,                 1.3005,                 1.5992,                 1.0939,               0.005809,               0.005809,               0.005809
                    129,                  0.854,                 1.0092,                0.97715,                0.88422,                0.66667,                0.78481,                 0.5309,                 1.3005,                 1.5992,                 1.0939,               0.005776,               0.005776,               0.005776
                    130,                0.99768,                0.83356,                 0.9969,                0.88422,                0.66667,                0.78481,                 0.5309,                 1.3005,                 1.5992,                 1.0939,               0.005743,               0.005743,               0.005743
                    131,                0.88345,                0.97739,                  1.031,                0.83999,                0.58364,                0.70899,                 0.4762,                 1.2695,                 1.8345,                 1.0663,                0.00571,                0.00571,                0.00571
                    132,                 1.0023,                0.81743,                0.99625,                0.83999,                0.58364,                0.70899,                 0.4762,                 1.2695,                 1.8345,                 1.0663,               0.005677,               0.005677,               0.005677
                    133,                0.95314,                0.81446,                0.97911,                0.83999,                0.58364,                0.70899,                 0.4762,                 1.2695,                 1.8345,                 1.0663,               0.005644,               0.005644,               0.005644
                    134,                 1.0695,                0.85573,                 1.0236,                0.83999,                0.58364,                0.70899,                 0.4762,                 1.2695,                 1.8345,                 1.0663,               0.005611,               0.005611,               0.005611
                    135,                 1.0397,                0.86437,                 1.0205,                0.84376,                0.60035,                0.75532,                0.51169,                 1.3527,                 1.7686,                 1.1244,               0.005578,               0.005578,               0.005578
                    136,                0.91609,                 0.8768,                0.99117,                0.84376,                0.60035,                0.75532,                0.51169,                 1.3527,                 1.7686,                 1.1244,               0.005545,               0.005545,               0.005545
                    137,                 1.0057,                0.91712,                 1.0175,                0.84376,                0.60035,                0.75532,                0.51169,                 1.3527,                 1.7686,                 1.1244,               0.005512,               0.005512,               0.005512
                    138,                 1.0692,                0.92165,                0.99917,                0.84376,                0.60035,                0.75532,                0.51169,                 1.3527,                 1.7686,                 1.1244,               0.005479,               0.005479,               0.005479
                    139,                0.92293,                0.78578,                0.95749,                0.77354,                0.63269,                0.79082,                0.47861,                 1.5105,                 1.6704,                 1.2026,               0.005446,               0.005446,               0.005446
                    140,                 1.0062,                0.84646,                 1.0216,                0.77354,                0.63269,                0.79082,                0.47861,                 1.5105,                 1.6704,                 1.2026,               0.005413,               0.005413,               0.005413
                    141,                0.92044,                0.82486,                 0.9948,                0.77354,                0.63269,                0.79082,                0.47861,                 1.5105,                 1.6704,                 1.2026,                0.00538,                0.00538,                0.00538
                    142,                0.97079,                0.85877,                 1.0334,                0.77354,                0.63269,                0.79082,                0.47861,                 1.5105,                 1.6704,                 1.2026,               0.005347,               0.005347,               0.005347
                    143,                0.89082,                0.96289,                  1.013,                0.85741,                0.66817,                0.79843,                0.52805,                 1.2881,                 1.6387,                 1.0782,               0.005314,               0.005314,               0.005314
                    144,                0.90882,                0.85158,                0.99995,                0.85741,                0.66817,                0.79843,                0.52805,                 1.2881,                 1.6387,                 1.0782,               0.005281,               0.005281,               0.005281
                    145,                 0.8789,                0.77242,                0.93076,                0.85741,                0.66817,                0.79843,                0.52805,                 1.2881,                 1.6387,                 1.0782,               0.005248,               0.005248,               0.005248
                    146,                0.88561,                0.77337,                0.96431,                0.85741,                0.66817,                0.79843,                0.52805,                 1.2881,                 1.6387,                 1.0782,               0.005215,               0.005215,               0.005215
                    147,                0.84658,                0.80353,                0.93682,                0.77926,                0.66667,                0.76862,                0.51479,                 1.3364,                 1.5446,                 1.1132,               0.005182,               0.005182,               0.005182
